sequence,fit_budget,method,candidate_pairs,valid_pairs,median_ce95,median_absolute_log_scale_ratio,median_holdout_nll,median_estimated_scale,median_coverage95,median_calibration_time_ms,median_random_trace_median_relative_error,median_random_trace_p95_relative_error,median_random_trace_mae,median_random_gain_median_relative_error,median_random_gain_p95_relative_error,median_k16_vs_exact_scale_relative_error,median_projection_basis_time_ms
V2_02_medium,48,DPR-Exact-Block,215,180,0.033333333333333326,0.6391076516195014,4.3215367663531,3.2806315724462065,0.9583333333333334,1.3440345,0.5012439026928156,1.2590328148885295,0.060483813790720736,0.013546634413132641,0.03974900071722248,0.019753030889569312,0.0396325
V2_02_medium,48,DUC-K16,215,180,0.033333333333333326,0.6333809538104285,4.340625304357278,3.479504284198775,0.9583333333333334,0.3362895,0.5012439026928156,1.2590328148885295,0.060483813790720736,0.013546634413132641,0.03974900071722248,0.019753030889569312,0.0396325
V2_02_medium,48,Permuted-K16,215,180,0.033333333333333326,0.6296178873427649,4.320133595238081,3.171226714315993,0.9583333333333334,0.114199,0.5012439026928156,1.2590328148885295,0.060483813790720736,0.013546634413132641,0.03974900071722248,0.019753030889569312,0.0396325
V2_03_difficult,16,Raw,172,58,0.11666666666666659,1.0075973856103908,5.263308055758976,1.467890273154366,0.8333333333333334,0.006178,0.244693703092252,0.7921723006963994,0.10034276572340955,0.024846388393610946,0.0819164566492275,0.07427984202540738,0.0387605
V2_03_difficult,16,Global-DoF,172,58,0.07499999999999996,0.8823371466525569,5.1530184806320865,1.806634182343835,0.875,0.0020605,0.244693703092252,0.7921723006963994,0.10034276572340955,0.024846388393610946,0.0819164566492275,0.07427984202540738,0.0387605
V2_03_difficult,16,DPR-Exact-Block,172,58,0.050000000000000044,0.7617580958328949,5.016487221446704,2.117090305878672,0.9166666666666666,0.4593635,0.244693703092252,0.7921723006963994,0.10034276572340955,0.024846388393610946,0.0819164566492275,0.07427984202540738,0.0387605
V2_03_difficult,16,DUC-K16,172,58,0.0625,0.8271174302886823,5.221863073749413,2.104720229722556,0.8958333333333333,0.179577,0.244693703092252,0.7921723006963994,0.10034276572340955,0.024846388393610946,0.0819164566492275,0.07427984202540738,0.0387605
V2_03_difficult,16,Permuted-K16,172,58,0.0625,0.806381569230729,5.1965052088613914,2.075462320805628,0.8958333333333333,0.06996050000000001,0.244693703092252,0.7921723006963994,0.10034276572340955,0.024846388393610946,0.0819164566492275,0.07427984202540738,0.0387605
V2_03_difficult,48,Raw,172,57,0.050000000000000044,0.3313621463499775,4.565331622618174,2.7316900690988297,0.9166666666666666,0.006131,0.5086530752260126,1.1748838101369357,0.05809260597493482,0.012890603133669076,0.04144955404185286,0.029146518548030187,0.03891
V2_03_difficult,48,Global-DoF,172,57,0.050000000000000044,0.37811556240225935,4.613330617990215,2.9138027403720854,0.9166666666666666,0.002028,0.5086530752260126,1.1748838101369357,0.05809260597493482,0.012890603133669076,0.04144955404185286,0.029146518548030187,0.03891
V2_03_difficult,48,DPR-Exact-Block,172,57,0.033333333333333326,0.4446600148397303,4.6051526733444,3.2336362587636085,0.9583333333333334,1.285583,0.5086530752260126,1.1748838101369357,0.05809260597493482,0.012890603133669076,0.04144955404185286,0.029146518548030187,0.03891
V2_03_difficult,48,DUC-K16,172,57,0.033333333333333326,0.43902386063898885,4.473041946798086,3.195803877984057,0.9166666666666666,0.315637,0.5086530752260126,1.1748838101369357,0.05809260597493482,0.012890603133669076,0.04144955404185286,0.029146518548030187,0.03891
V2_03_difficult,48,Permuted-K16,172,57,0.050000000000000044,0.3744037307135123,4.611579851751006,2.929639775288067,0.9166666666666666,0.105179,0.5086530752260126,1.1748838101369357,0.05809260597493482,0.012890603133669076,0.04144955404185286,0.029146518548030187,0.03891
